Locations correspond to U00096.2 reference genome,,,,,,,,,,,,,,
NUM,Operon,Promoters,Terminators,TU count,TU,STRAND,GENE CNT,RegulonDB operon,Operon mismatches,GENES,WT_LOG,WT_STAT,WT_LOG,WT_STAT
650,T-1100062:P-1102565,1,1,1,T-1100062:P-1102565,-,4,csgDEFG,0,csgD-csgE-csgF-csgG,4,3.6,86.4,56.5
651,P-1103150:T-1107317,2,1,2,P-1103150:T-1107317,+,6,ymdA:ymdBC:csgBAC,2,csgB-csgA-csgC-ymdA-ymdB-ymdC,2.9,4.5,68.1,68.8
652,,,,,I-1103460:T-1107317,+,5,,,csgA-csgC-ymdA-ymdB-ymdC,3.2,4.9,72.7,74.3
653,T-1106936:P-1108345,1,1,1,T-1106936:P-1108345,-,1,,,opgC,3.4,0.6,92.3,10.9
654,P-1108501:T-1112756,1,1,1,P-1108501:T-1112756,+,2,,,opgG-opgH,7.9,5.5,99.6,85.8
655,T-1112762:P-1113435,1,1,1,T-1112762:P-1113435,-,1,msyB,0,msyB,7.8,12.4,99.3,100
656,P-1115995:T-1117104,1,1,1,P-1115995:T-1117104,+,1,yceA,0,yceA,8.3,1.5,100,27.6
657,T-1118676:P-1119831,1,1,1,T-1118676:P-1119831,-,1,solA-yceO,0,solA,7.2,3.6,100,63.3
658,T-1119877:P-1120251,1,1,1,T-1119877:P-1120251,-,1,bssS,0,bssS,6,13.4,95.5,100
659,T-1120440:P-1120729,1,1,1,T-1120440:P-1120729,-,1,dinI,0,dinI,5.1,1.3,100,24.5
660,T-1120742:P-1121867,1,1,1,T-1120742:P-1121867,-,1,pyrC,0,pyrC,7.4,0.1,100,1.7
661,T-1121935:P-1123303,1,2,2,T-1121935:P-1123303,-,2,yceB:grxB,1,grxB-yceB,5.2,5.7,98.8,79.1
662,,,,,T-1122616:P-1123303,-,1,,,grxB,6,7.8,100,98
663,P-1124746:T-1128609,1,1,1,P-1124746:T-1128609,+,4,yceH:yceM:rimJ:murJ,3,rimJ-yceH-yceM-murJ,6.5,4.9,99.7,64.9
664,,,,,T-1140370:S-1143951,-,1,,,rne,8.2,7.9,100,99.3
665,,,,,T-1140370:S-1143984,-,1,,,rne,8.2,7.9,100,99.3
666,T-1140370:P-1144096,3,1,3,T-1140370:P-1144096,-,1,rne,0,rne,8.1,7.9,100,99
667,P-1144064:T-1145388,1,1,1,P-1144064:T-1145388,+,1,rluC,0,rluC,6.9,3.5,99.2,60.8
668,T-1145179:P-1145923,1,1,1,T-1145179:P-1145923,-,1,yceF,0,yceF,6.2,7.6,100,91.9
669,,,,,P-1145814:T-1146756,+,1,,,yceD,11.9,9.8,100,100
670,P-1145814:T-1152438,4,2,6,P-1145814:T-1152438,+,8,yceD-rpmF-plsX-fabHDG-acpP-fabF,0,yceD-rpmF-plsX-fabH-fabD-fabG-acpP-fabF,10.9,8.9,100,95
671,,,,,I-1145873:T-1146756,+,1,,,yceD,12.5,9.8,100,100
672,,,,,I-1145873:T-1152438,+,8,,,yceD-rpmF-plsX-fabH-fabD-fabG-acpP-fabF,11,8.9,100,94.9
673,T-1148146:AS-1148331,1,1,1,T-1148146:AS-1148331,-,,,,,,6.6,,100
674,,,,,I-1150277:T-1152438,+,2,,,acpP-fabF,11.3,10.1,100,99.4
675,,,,,S-1150800:T-1152438,+,2,,,acpP-fabF,11.1,9.5,100,99.1
676,P-1152505:T-1158562,3,1,3,P-1152505:T-1158562,+,6,pabC-yceG-tmk-holB-ycfH:ptsG,1,pabC-yceG-tmk-holB-ycfH-ptsG,7.8,5.4,99.5,73.1
677,,,,,T-1156280:AS-1156966,-,,,,,2.8,6.9,74.1,97.2
678,T-1156280:AS-1157080,2,1,2,T-1156280:AS-1157080,-,,,,,2.5,6,66.4,85.5
679,,,,,I-1156474:T-1158562,+,1,,,ptsG,10.2,9.5,99.9,100
680,,,,,S-1156850:T-1158562,+,1,,,ptsG,11.1,9.5,100,100
681,P-1161049:T-1164989,2,1,2,P-1161049:T-1164989,+,6,hinT-ycfL-lpoB-thiK-nagZ-ycfP,0,hinT-ycfL-ycfM-thiK-nagZ-ycfP,7.8,7.5,98.8,91.8
682,,,,,I-1164168:T-1164989,+,1,,,ycfP,7.5,9.8,94.3,100
683,P-1165250:T-1166851,1,1,1,P-1165250:T-1166851,+,1,ndh,0,ndh,7.4,4.3,100,68.8
684,T-1167214:P-1168084,1,1,1,T-1167214:P-1168084,-,1,,,ycfQ,4.7,3.2,98.7,51.7
685,T-1168615:P-1173214,1,1,1,T-1168615:P-1173214,-,2,ycfS:mfd,1,mfd-ycfS,6.2,1.8,97.2,32.7
686,P-1174624:T-1179753,2,1,2,P-1174624:T-1179753,+,5,nagK-cobB:lolCDE,1,lolC-lolD-lolE-nagK-cobB,7,4.1,99.9,58
687,,,,,I-1177234:T-1179753,+,2,,,nagK-cobB,7.2,7.1,99.9,95.2
688,T-1180970:P-1184883,1,1,1,T-1180970:P-1184883,-,4,potABCD,0,potA-potB-potC-potD,8.3,4,98.7,63.6
689,P-1184962:T-1186464,1,1,1,P-1184962:T-1186464,+,1,pepT,0,pepT,6.9,10.1,100,100
690,,,,,T-1186154:S-1187488,-,1,,,ycfD,7.3,8.1,100,99.9
691,T-1186154:P-1189730,2,2,4,T-1186154:P-1189730,-,3,ycfD:phoPQ,1,phoP-phoQ-ycfD,6.6,7.6,99.8,95.1
692,,,,,T-1186320:S-1187488,-,1,,,ycfD,7.7,8.4,100,100
693,,,,,T-1186320:P-1189730,-,3,,,phoP-phoQ-ycfD,6.7,7.7,99.8,94.9
694,,,,,T-1189752:I-1191910,-,2,,,hflD-purB,7,0.9,100,16.2
695,,,,,T-1189752:S-1193024,-,3,,,mnmA-hflD-purB,7.3,1.8,100,31.3
696,T-1189752:P-1194150,3,1,3,T-1189752:P-1194150,-,4,hflD-purB:mnmA:rluE-nudJ,2,nudJ-mnmA-hflD-purB,6.5,2,96.5,34.3
697,,,,,P-1194169:T-1195626,+,1,,,icd,13.2,9,99.1,99
698,P-1194169:T-1195947,3,2,6,P-1194169:T-1195947,+,1,icd,0,icd,12,7.4,99.3,81.2
699,,,,,S-1194185:T-1195626,+,1,,,icd,13.3,9.1,100,99.9
700,,,,,S-1194185:T-1195947,+,1,,,icd,12.1,7.4,100,81.7
701,,,,,S-1194232:T-1195626,+,1,,,icd,13.5,9.1,100,99.9
702,,,,,S-1194232:T-1195947,+,1,,,icd,12.1,7.4,100,81.2
703,T-1196039:P-1197500,1,1,1,T-1196039:P-1197500,-,2,ymfED,0,ymfE-ymfD,3.2,2.6,83.4,47.5
704,P-1197892:T-1198881,1,1,1,P-1197892:T-1198881,+,1,lit,0,lit,4.3,1.2,80,23.8
705,T-1200645:P-1201407,1,1,1,T-1200645:P-1201407,-,1,ymfJ,0,ymfJ,3.8,5.3,99.2,82.4
706,P-1200692:T-1201184,1,1,1,P-1200692:T-1201184,+,1,ymfI,0,ymfI,5.1,1.7,100,31.2
707,T-1201486:P-1202183,1,1,1,T-1201486:P-1202183,-,,,,,6.3,6.6,99.3,96.8
708,T-1202974:AS-1203044,1,1,1,T-1202974:AS-1203044,-,,,,,4.5,8.3,98.6,98.6
709,P-1209553:T-1210394,1,1,1,P-1209553:T-1210394,+,,,,,4.6,0.2,89.7,3.4
710,,,,,T-1211864:S-1212504,-,1,,,ycgX,3.5,0.5,90.6,8.7
711,T-1211864:P-1213335,2,1,2,T-1211864:P-1213335,-,2,ycgX,0,ycgE-ycgX,4.8,4.2,95.9,58.8
712,T-1213467:I-1214510,1,1,1,T-1213467:I-1214510,-,,,,,2.9,2,87.1,35.7
713,P-1214976:T-1216332,1,1,1,P-1214976:T-1216332,+,4,ycgZ-ymgA-ariR-ymgC,0,ycgZ-ymgA-ariR-ymgC,5.1,8.9,94.8,100
714,T-1217658:AS-1218098,1,1,1,T-1217658:AS-1218098,-,,,,,0.9,6.9,38.5,93.2
715,T-1221510:P-1222319,1,1,1,T-1221510:P-1222319,-,2,ymgGD,0,ymgG-ymgD,6.4,3,94.7,49.9
716,P-1222489:T-1222717,1,1,1,P-1222489:T-1222717,+,,,,,,6.3,,100
717,,,,,T-1223458:S-1225362,-,3,,,minC-minD-minE,9,9.5,100,98.4
718,T-1223458:P-1225612,2,1,2,T-1223458:P-1225612,-,3,minCDE,0,minC-minD-minE,8.2,8.9,97.4,95.3
719,P-1225677:T-1227976,2,1,2,P-1225677:T-1227976,+,3,ycgM:ycgJ:ycgL,2,ycgJ-ycgL-ycgM,6.3,7.6,97.3,93.1
720,T-1226087:P-1226728,1,2,2,T-1226087:P-1226728,-,1,pliG,0,pliG,5.6,8.7,92.5,100
721,,,,,T-1226264:P-1226728,-,1,,,pliG,7.1,10,100,100
722,,,,,S-1226746:T-1227976,+,2,,,ycgL-ycgM,7.2,9.2,100,99.2
723,P-1228021:T-1228618,1,1,1,P-1228021:T-1228618,+,1,ycgN,0,ycgN,6.2,7.1,100,96.3
724,T-1228664:P-1229688,1,1,1,T-1228664:P-1229688,-,1,hlyE,0,hlyE,0.5,6.8,17.3,99.1
725,P-1229963:T-1231801,1,1,1,P-1229963:T-1231801,+,2,umuDC,0,umuD-umuC,2.8,3.6,64.4,61.9
726,T-1231695:P-1232278,1,1,1,T-1231695:P-1232278,-,1,dsbB,0,dsbB,5.2,3.9,94.7,69
727,T-1232385:P-1233987,1,1,1,T-1232385:P-1233987,-,1,nhaB,0,nhaB,5.1,1,100,18.8
728,P-1234129:T-1234885,1,1,1,P-1234129:T-1234885,+,1,fadR,0,fadR,6.5,6.3,100,99.7
729,T-1234905:P-1236507,1,1,1,T-1234905:P-1236507,-,1,ycgB,0,ycgB,5.9,12.2,96.4,100
730,P-1236733:T-1239631,1,1,1,P-1236733:T-1239631,+,2,dadAX,0,dadA-dadX,6.1,8.5,98.9,98.7
731,T-1239302:P-1242352,1,1,1,T-1239302:P-1242352,-,2,cvrA:ldcA,1,ldcA-cvrA,4.4,2.3,95.5,41.2
732,P-1242352:T-1243097,1,1,1,P-1242352:T-1243097,+,1,emtA,0,emtA,8.5,6.1,100,89.3
733,,,,,P-1243902:T-1244227,+,1,,,ymgE,2.8,10.7,89.3,100
734,P-1243902:T-1244816,1,2,2,P-1243902:T-1244816,+,1,ymgE,0,ymgE,1.7,8.6,53.1,100
735,T-1244886:P-1246644,1,1,1,T-1244886:P-1246644,-,1,treA,0,treA,3.3,9.4,80.4,100
736,T-1246909:P-1250129,1,1,1,T-1246909:P-1250129,-,3,dhaKLM,0,dhaK-dhaL-dhaM,7.1,4.9,100,75.7
737,P-1250230:T-1252319,1,1,1,P-1250230:T-1252319,+,1,dhaR,0,dhaR,4,2.4,91.9,42.4
738,T-1255882:P-1257764,1,1,1,T-1255882:P-1257764,-,2,pth-ychF,0,pth-ychF,8.3,6,100,86.1
739,,,,,P-1257962:T-1258314,+,1,,,ychH,7.6,14.2,100,100
740,P-1257962:T-1258582,1,2,2,P-1257962:T-1258582,+,1,ychH,0,ychH,5.9,11.1,97.9,100
741,,,,,T-1260120:I-1261399,-,1,,,prs,8.8,6,99.7,91.7
742,,,,,T-1260120:S-1262748,-,3,,,lolB-ispE-prs,7.8,5.7,99.8,85.6
743,T-1260120:P-1262757,3,1,3,T-1260120:P-1262757,-,3,lolB-ispE-prs,0,lolB-ispE-prs,7.8,5.7,99.8,85.3
744,,,,,P-1262535:T-1268265,+,6,,,hemA-prfA-prmC-ychQ-ychA-kdsA,7,5.1,97.3,75.5
745,P-1262535:T-1268710,3,2,6,P-1262535:T-1268710,+,7,hemA-prfA-prmC:ychQA-kdsA:rdlA,2,hemA-prfA-prmC-ychQ-ychA-kdsA-rdlA,6.9,4.8,97.5,70.5
746,,,,,S-1262899:T-1268265,+,6,,,hemA-prfA-prmC-ychQ-ychA-kdsA,7.4,5.3,100,79
747,,,,,S-1262899:T-1268710,+,7,,,hemA-prfA-prmC-ychQ-ychA-kdsA-rdlA,7.3,5,100,73.4
748,,,,,I-1266405:T-1268265,+,2,,,ychA-kdsA,8.7,7.3,100,96.4
749,,,,,I-1266405:T-1268710,+,3,,,ychA-kdsA-rdlA,8.1,6,100,79
750,T-1269943:P-1271118,1,1,1,T-1269943:P-1271118,-,1,chaA,0,chaA,5.3,1.7,100,28.9
751,P-1270714:T-1272520,2,1,2,P-1270714:T-1272520,+,2,chaBC,0,chaB-chaC,4.6,7.3,84.7,92.9
752,,,,,S-1271319:T-1272520,+,2,,,chaB-chaC,5.8,8.5,99.6,100
753,T-1272273:P-1273108,1,1,1,T-1272273:P-1273108,-,1,ychN,0,ychN,4.7,7.2,82.1,93.9
754,P-1272971:T-1274590,1,1,1,P-1272971:T-1274590,+,1,ychO,0,ychO,4,1.1,90.9,21.5
755,T-1274271:P-1277076,1,1,1,T-1274271:P-1277076,-,2,narXL,0,narX-narL,4.2,5.3,88.6,79.5
756,,,,,T-1286391:S-1286888,-,2,,,tyrT-tyrV,6.3,0.8,100,14.9
757,,,,,T-1286391:I-1287977,-,3,,,purU-tyrT-tyrV,8,5.3,100,71.8
758,T-1286391:P-1288399,3,1,3,T-1286391:P-1288399,-,4,ychJ:tyrTV-tpr:purU,2,ychJ-purU-tyrT-tyrV,7.8,5,100,70.4
759,,,,,P-1288330:T-1290525,+,2,,,rssA-rssB,7,9.4,99.2,100
760,P-1288330:T-1291611,3,2,5,P-1288330:T-1291611,+,3,galU:rssAB,1,rssA-rssB-galU,7.9,9.6,99.5,100
761,,,,,S-1289407:T-1290525,+,1,,,rssB,6.5,9.5,98.4,100
762,,,,,S-1289407:T-1291611,+,2,,,rssB-galU,8,9.8,99.2,100
763,,,,,S-1290528:T-1291611,+,1,,,galU,9.6,10,100,100
764,T-1291689:P-1292180,1,1,1,T-1291689:P-1292180,-,1,hns,0,hns,9.8,12.8,99.4,100
765,P-1292717:T-1293716,1,1,1,P-1292717:T-1293716,+,1,tdk,0,tdk,5.8,4.8,92.8,80
766,,,,,T-1294561:S-1297635,-,1,,,adhE,8.6,10.4,99.3,99.9
767,,,,,T-1294561:S-1297890,-,1,,,adhE,8,9.7,96.7,94
768,T-1294561:P-1298014,3,1,3,T-1294561:P-1298014,-,1,adhE,0,adhE,7.7,9.4,94.8,90.6
769,P-1298696:T-1304803,1,1,1,P-1298696:T-1304803,+,5,oppABCDF,0,oppA-oppB-oppC-oppD-oppF,9.1,6.7,99.7,91.7
770,T-1304820:P-1306695,1,1,1,T-1304820:P-1306695,-,2,clsA-yciU,0,cls-yciU,7,7.8,99.7,98.8
771,P-1306788:T-1307015,1,1,1,P-1306788:T-1307015,+,1,yciY,0,yciY,7.1,6.1,100,89
772,,,,,T-1307039:S-1308372,-,1,,,kch,4.2,4.9,89.1,80.1
773,T-1307039:P-1308915,2,1,2,T-1307039:P-1308915,-,2,kch:yciI,1,yciI-kch,4.5,4.7,90.3,73.3
774,P-1309082:T-1309846,1,1,1,P-1309082:T-1309846,+,1,tonB,0,tonB,7,1.7,100,24.8
775,T-1309866:P-1311721,1,1,1,T-1309866:P-1311721,-,3,yciA:yciCB,1,yciC-yciB-yciA,6.5,4.5,100,65.4
776,P-1311895:T-1312771,1,1,1,P-1311895:T-1312771,+,1,ompW,0,ompW,4.7,6.6,81,91.3
777,,,,,T-1312704:I-1313451,-,1,,,yciE,4.3,7.7,96.4,100
778,T-1312704:P-1314115,2,1,2,T-1312704:P-1314115,-,3,yciGFE,0,yciG-yciF-yciE,4.1,8.1,97.2,99.6
779,T-1314260:P-1321368,1,2,2,T-1314260:P-1321368,-,6,trpLEDCBA,0,trpL-trpE-trpD-trpC-trpB-trpA,8.3,4.8,99.4,75.9
780,,,,,T-1314418:P-1321368,-,6,,,trpL-trpE-trpD-trpC-trpB-trpA,8.4,4.9,99.4,77.6
781,P-1321213:T-1322866,2,1,2,P-1321213:T-1322866,+,2,yciVOQ,0,yciV-yciO,6.6,6.3,99.3,66.4
782,,,,,I-1321790:T-1322866,+,1,,,yciO,7.4,9.5,99.8,100
783,P-1324817:T-1325934,1,1,1,P-1324817:T-1325934,+,1,rluB,0,rluB,7.6,5.7,100,80.3
784,T-1325514:P-1327250,1,1,1,T-1325514:P-1327250,-,2,yciK-btuR,0,yciK-btuR,5.6,4.3,99.9,69
785,P-1327276:T-1328680,1,1,1,P-1327276:T-1328680,+,1,sohB,0,sohB,7.6,5.1,98.4,80.1
786,T-1328428:P-1328737,1,1,1,T-1328428:P-1328737,-,1,yciN,0,yciN,5,8.2,99,100
787,P-1328814:T-1331701,2,1,2,P-1328814:T-1331701,+,1,topA,0,topA,9.2,7.7,99.9,99.9
788,,,,,S-1328905:T-1331701,+,1,,,topA,9.3,7.8,100,99.9
789,P-1331786:T-1333063,1,1,1,P-1331786:T-1333063,+,1,cysB,0,cysB,7.5,4.1,99.8,71.8
790,T-1332508:AS-1332949,1,1,1,T-1332508:AS-1332949,-,,,,,1.4,5.6,36,82.6
791,P-1333103:T-1333716,2,1,2,P-1333103:T-1333716,+,2,ymiA-yciX,0,ymiA-yciX,7.7,10.6,98.2,100
792,,,,,S-1333115:T-1333716,+,2,,,ymiA-yciX,7.9,10.6,100,100
793,,,,,P-1333806:T-1336546,+,1,,,acnA,8,10.9,100,100
794,P-1333806:T-1337046,1,2,2,P-1333806:T-1337046,+,1,acnA,0,acnA,7.2,10.3,93.5,100
795,,,,,T-1336568:S-1337213,-,1,,,ribA,6.5,5.3,100,82
796,T-1336568:P-1337257,2,1,2,T-1336568:P-1337257,-,1,ribA,0,ribA,6,4.9,93.6,76.8
797,P-1337334:T-1339848,2,1,2,P-1337334:T-1339848,+,3,yciSM-pyrF-yciH:pgpB,1,pgpB-yciS-yciM,7.1,6.6,99.8,92.2
798,,,,,S-1338211:T-1339848,+,2,,,yciS-yciM,7.9,7,100,93.3
799,P-1339895:T-1341153,1,1,1,P-1339895:T-1341153,+,2,yciSM-pyrF-yciH,0,pyrF-yciH,7.9,2.9,99.4,53.2
800,T-1341022:P-1341392,1,1,1,T-1341022:P-1341392,-,1,osmB,0,osmB,4.4,11.2,91.6,100
801,T-1341599:P-1342660,1,1,1,T-1341599:P-1342660,-,2,yciZT,0,yciZ-yciT,5,3.8,97.6,66.5
802,AS-1342329:T-1342740,1,1,1,AS-1342329:T-1342740,+,,,,,1.2,3.9,37.9,61.9
803,T-1342722:P-1344866,1,1,1,T-1342722:P-1344866,-,1,gmr,0,gmr,4.3,9,91.9,99.7
804,AS-1343130:T-1343251,1,1,1,AS-1343130:T-1343251,+,,,,,,5.7,,100
805,,,,,T-1344981:S-1346964,-,1,,,rnb,8.9,1.9,100,34.4
806,,,,,T-1344981:I-1347152,-,1,,,rnb,8.8,2,100,36.4
807,T-1344981:P-1349144,3,2,4,T-1344981:P-1349144,-,3,rnb:fabI:yciW,2,fabI-yciW-rnb,8.3,3.2,99.8,43.7
808,AS-1348076:T-1348346,1,1,1,AS-1348076:T-1348346,+,,,,,3.6,1.8,84.5,32.8
809,,,,,T-1348247:P-1349144,-,1,,,fabI,10,8.9,100,99.1
810,,,,,T-1349234:S-1355435,-,6,,,sapA-sapB-sapC-sapD-sapF-ycjD,3.9,4.1,91.6,65.9
811,,,,,T-1349234:S-1355722,-,7,,,ymjA-sapA-sapB-sapC-sapD-sapF-ycjD,3.9,4.1,91.8,66.2
812,T-1349234:P-1358990,3,2,4,T-1349234:P-1358990,-,9,puuA:puuP:ycjD:sapABCDF:ymjA,4,puuA-puuP-ymjA-sapA-sapB-sapC-sapD-sapF-ycjD,3.9,5.7,87.9,77
813,,,,,T-1355809:P-1358990,-,2,,,puuA-puuP,4,9,82.4,99.3
814,,,,,P-1359077:T-1360500,+,2,,,puuD-puuR,6.6,10.2,98.9,100
815,P-1359077:T-1365030,1,2,2,P-1359077:T-1365030,+,5,puuDR:puuCBE,1,puuD-puuR-puuC-puuB-puuE,3.6,7.9,73.3,97.4
816,T-1364747:P-1365967,1,1,1,T-1364747:P-1365967,-,1,pspF,0,pspF,2.4,0.7,71.6,12.5
817,P-1366064:T-1368054,2,1,2,P-1366064:T-1368054,+,5,pspABCDE,0,pspA-pspB-pspC-pspD-pspE,7,7.6,100,100
818,,,,,S-1367687:T-1368054,+,1,,,pspE,6.2,8.5,100,100
819,T-1380956:P-1382012,1,1,1,T-1380956:P-1382012,-,1,ycjW,0,ycjW,3.8,0.1,96.5,2.2
820,P-1381943:T-1388177,1,1,1,P-1381943:T-1388177,+,4,ycjG:ycjXF-tyrR,1,ycjX-ycjF-tyrR-ycjG,6.1,5.4,98.1,74.1
821,T-1386028:P-1386867,1,2,2,T-1386028:P-1386867,-,1,tpx,0,tpx,8.3,7.6,99.8,80.2
822,,,,,T-1386316:P-1386867,-,1,,,tpx,9.6,10.2,100,100
823,,,,,T-1387740:S-1388646,-,1,,,mpaA,3.8,6.6,94.2,100
824,T-1387740:P-1389921,2,1,2,T-1387740:P-1389921,-,4,ymjC-mpaA:ycjY,1,ycjY-ymjD-ymjC-mpaA,2.5,5.6,70.5,88.1
825,P-1389677:T-1393160,2,1,2,P-1389677:T-1393160,+,2,mppA:ycjZ,1,ycjZ-mppA,5.7,6.1,95.6,78.3
826,,,,,S-1391221:T-1393160,+,1,,,mppA,6.7,7.9,100,93.6
827,T-1392886:P-1393996,1,1,1,T-1392886:P-1393996,-,1,ynaI,0,ynaI,4.3,1,95.5,18.4
828,P-1395354:T-1395880,1,1,1,P-1395354:T-1395880,+,1,ynaJ,0,ynaJ,8.1,6.9,100,84.1
829,,,,,T-1395660:S-1396682,-,1,,,uspE,7.3,11.5,99.1,100
830,T-1395660:P-1397575,2,2,3,T-1395660:P-1397575,-,2,fnr:uspE,1,fnr-uspE,8,10.8,99.5,100
831,,,,,T-1396761:P-1397575,-,1,,,fnr,9,10.3,100,100
832,,,,,T-1403525:I-1403774,-,,,,,4.7,6.6,96.4,90.4
833,T-1403525:P-1403835,2,1,2,T-1403525:P-1403835,-,1,,,isrA,4.7,6.4,96.5,88.4
834,P-1403979:T-1404797,1,1,1,P-1403979:T-1404797,+,1,,,ydaL,4.3,4.8,91.2,71.6
835,T-1404299:P-1405892,1,1,1,T-1404299:P-1405892,-,1,ydaM,0,ydaM,3.7,6.1,86.4,84.3
836,P-1405986:T-1407232,2,1,2,P-1405986:T-1407232,+,1,ydaN,0,ydaN,5.6,7,98.5,96.8
837,,,,,S-1406052:T-1407232,+,1,,,ydaN,5.7,7.2,98.4,98.6
838,T-1409024:P-1410476,1,1,1,T-1409024:P-1410476,-,1,ttcA,0,ttcA,6.8,7.3,92.8,97.8
839,T-1417764:P-1418264,1,1,1,T-1417764:P-1418264,-,,,,,6.5,6.3,100,92.2
840,T-1421590:AS-1421745,1,1,1,T-1421590:AS-1421745,-,,,,,,6.3,,97.4
841,T-1424785:AS-1424996,1,1,1,T-1424785:AS-1424996,-,,,,,3.7,6.3,93.9,89.6
842,P-1432551:T-1433538,1,1,1,P-1432551:T-1433538,+,,,,,3.7,5.9,89.6,92.2
843,,,,,T-1432856:S-1433664,-,2,,,uspF-ttcC,4.1,9.3,79,93.3
844,T-1432856:P-1433714,2,2,4,T-1432856:P-1433714,-,2,uspF,0,uspF-ttcC,3.8,9.1,74.4,93.7
845,,,,,T-1433178:S-1433664,-,1,,,uspF,5.6,12.3,94,100
846,,,,,T-1433178:P-1433714,-,1,,,uspF,5.1,11.7,85.3,100
847,,,,,T-1435278:I-1438795,-,,,,,5.6,8.3,99.9,99.7
848,T-1435278:P-1438868,2,1,2,T-1435278:P-1438868,-,1,ydbK-ompN,0,ydbK,5.6,8.3,99.9,99.7
849,P-1439048:T-1439761,1,1,1,P-1439048:T-1439761,+,1,ydbJ,0,ydbJ,6,8.3,100,99.2
850,T-1439254:P-1439800,1,1,1,T-1439254:P-1439800,-,1,hslJ,0,hslJ,4.4,7.4,81.2,95.6
851,T-1439864:P-1440974,1,1,1,T-1439864:P-1440974,-,1,ldhA,0,ldhA,7.3,8.9,100,100
852,P-1440988:T-1444369,1,1,1,P-1440988:T-1444369,+,3,ydbH-ynbE-ydbL,0,ydbH-ynbE-ydbL,4.6,3,89.1,46.9
853,T-1444262:P-1445372,1,1,1,T-1444262:P-1445372,-,1,feaR,0,feaR,3.2,7.4,90.3,97.7
854,P-1445368:T-1447066,2,1,2,P-1445368:T-1447066,+,1,feaB,0,feaB,3.2,6.5,74.3,95.1
855,,,,,I-1446701:T-1447066,+,,,,,3.1,8,77,100
856,P-1461535:T-1463121,1,1,1,P-1461535:T-1463121,+,2,paaXY,0,paaX-paaY,6.7,8.5,99.9,100
857,,,,,P-1472214:T-1473126,+,1,,,ydbC,4.6,8.1,95.5,99.3
858,P-1472214:T-1473273,1,2,2,P-1472214:T-1473273,+,1,ydbC,0,ydbC,4,7.8,85.4,99.4
859,T-1480241:P-1480927,1,1,1,T-1480241:P-1480927,-,1,azoR,0,azoR,5.4,3.3,100,56.6
860,P-1481039:T-1485034,1,1,1,P-1481039:T-1485034,+,1,hrpA,0,hrpA,6.9,5,99.9,82.6
861,P-1485192:T-1486068,1,1,1,P-1485192:T-1486068,+,1,ydcF,0,ydcF,6.4,6.6,99.2,97.6
862,P-1486216:T-1488415,1,1,1,P-1486216:T-1488415,+,1,aldA,0,aldA,8.5,10.7,91.7,98
863,T-1487721:P-1488776,1,1,1,T-1487721:P-1488776,-,1,,,gapC,6.8,6.8,100,85.1
864,P-1488901:T-1490196,2,1,2,P-1488901:T-1490196,+,2,ydcA:cybB,1,cybB-ydcA,6.9,4.5,100,71.4
865,T-1489883:P-1490328,1,1,1,T-1489883:P-1490328,-,2,mokB:hokB,1,mokB-hokB,3.9,7.8,75.6,100
866,,,,,S-1490144:T-1490196,+,1,,,sokB,3.5,6.2,100,100
867,,,,,T-1491959:S-1493139,-,1,,,ydcI,6.7,9.3,100,98.8
868,T-1491959:P-1493169,2,1,2,T-1491959:P-1493169,-,1,ydcI,0,ydcI,6.5,9.3,97.8,98.8
869,,,,,P-1493290:T-1495071,+,1,,,ydcJ,4.1,10.4,88.2,100
870,,,,,P-1493290:T-1496922,+,3,,,ydcJ-opgD-ydcH,5.4,8.7,92.3,95.9
871,P-1493290:T-1497592,2,3,6,P-1493290:T-1497592,+,4,ydcH:rimL:ydcJ,2,ydcJ-opgD-ydcH-rimL,5.4,8.3,92.6,96.2
872,,,,,S-1494794:T-1495071,+,,,,,6.6,7.7,99.6,100
873,,,,,S-1494794:T-1496922,+,2,,,opgD-ydcH,6.6,7.1,96.7,93
874,,,,,S-1494794:T-1497592,+,3,,,opgD-ydcH-rimL,6.3,6.9,96.1,94.1
875,T-1497114:P-1498494,1,2,2,T-1497114:P-1498494,-,1,ydcK,0,ydcK,3.9,8.3,87.6,98.7
876,,,,,T-1497395:P-1498494,-,1,,,ydcK,4.4,9,98,100
877,,,,,P-1498508:T-1500242,+,2,,,tehA-tehB,4.9,4.7,89.3,82.5
878,P-1498508:T-1501377,2,2,3,P-1498508:T-1501377,+,3,ydcL:tehAB,1,tehA-tehB-ydcL,5.5,6.7,92.2,87.5
879,,,,,S-1500453:T-1501377,+,1,,,ydcL,7.4,10.8,100,100
880,P-1504781:T-1506984,1,1,1,P-1504781:T-1506984,+,1,ydcP,0,ydcP,7.2,1.2,99.8,23
881,T-1506717:P-1507161,1,1,1,T-1506717:P-1507161,-,1,yncJ,0,yncJ,2.8,3.7,79.6,65.4
882,P-1507300:T-1509448,1,1,1,P-1507300:T-1509448,+,3,ydcR:hicAB,1,hicA-hicB-ydcR,4.7,3.4,88.3,57.1
883,P-1509621:T-1515075,1,1,1,P-1509621:T-1515075,+,5,ydcSTUV,0,ydcS-ydcT-ydcU-ydcV-prr,4.3,10.3,89.2,100
884,T-1514851:P-1515241,1,2,2,T-1514851:P-1515241,-,1,yncL,0,yncL,6.7,9.1,99.7,89
